Id,Label,indegree,outdegree,degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,pageranks
迎十里,,0,2,2,0,1,1,1,0,0,0.00002
田园军,,1,0,1,0,0,0,0,0,0.011354,0.000028
暴食症患者李舜生,,0,15,15,0,1,1,1,0,0,0.00002
攀塔者梁小狼,,3,0,3,0,0,0,0,0,0.348472,0.000021
食虾者,,1,0,1,0,0,0,0,0,0.011354,0.000028
chua斯密,,1,0,1,0,0,0,0,0,0.011354,0.00002
Ginsher-,,1,0,1,0,0,0,0,0,0.325764,0.00002
luckincoffee瑞幸咖啡,,0,3,3,0,1,1,1,0,0,0.00002
杰西的猫咖啡,,1,0,1,0,0,0,0,0,0.011354,0.000026
阿尔萨斯信徒,,1,0,1,0,0,0,0,0,0.325764,0.00002
狒狒的烦恼之路,,0,5,5,0,1,1,1,0,0,0.00002
欸嘿嘿18150,,1,0,1,0,0,0,0,0,0.011354,0.000023
新世纪吸貓战士9,,0,2,2,0,1,1,1,0,0,0.00002
进化史莱姆,,1,0,1,0,0,0,0,0,0.011354,0.000028
卢诗翰,,0,932,932,0,3,0.69344,0.781383,0,0,0.00002
Alohomora16,,1,0,1,0,0,0,0,0,0.011354,0.00002
路人甲zxc,,1,0,1,0,0,0,0,0,0.011354,0.000023
创作者DC,,0,10,10,0,1,1,1,0,0,0.00002
他还是困,,1,0,1,0,0,0,0,0,0.011354,0.000022
独禋CCC,,1,0,1,0,0,0,0,0,0.011354,0.000022
无壳牡蛎,,1,0,1,0,0,0,0,0,0.011354,0.000022
爱摸鱼的sakura,,1,0,1,0,0,0,0,0,0.011354,0.000021
阿道_The_Knight_of_Hope,,1,0,1,0,0,0,0,0,0.011354,0.000022
Marico_我的大号回不来了,,1,0,1,0,0,0,0,0,0.011354,0.000022
Zzzzzisss,,0,0,0,0,0,0,0,0,0,0.00002
拆台CT,,0,72,72,0,1,1,1,0,0,0.00002
乐高斯卡蕾特,,1,0,1,0,0,0,0,0,0.325764,0.00002
竹上雀Neo,,1,0,1,0,0,0,0,0,0.325764,0.00002
病心狂丧,,1,0,1,0,0,0,0,0,0.011354,0.00002
兔头学姐张铁根,,0,4,4,0,1,1,1,0,0,0.00002
月下麓,,1,0,1,0,0,0,0,0,0.011354,0.000024
米浴厨,,0,49,49,0,2,0.802469,0.876923,0,0,0.00002
兔腿和鸡翅,,1,0,1,0,0,0,0,0,0.011354,0.00002
歪歪歪比八卜,,2,0,2,0,0,0,0,0,0.053882,0.00003
钕性主义分子,,1,0,1,0,0,0,0,0,0.011354,0.00002
锋潮科技,,0,2,2,0,1,1,1,0,0,0.00002
吼叫尾侠,,1,0,1,0,0,0,0,0,0.011354,0.00002
那婕,,1,0,1,0,0,0,0,0,0.011354,0.000022
Polden-P,,1,0,1,0,0,0,0,0,0.011354,0.00002
猫猫头带来好运,,1,0,1,0,0,0,0,0,0.011354,0.00002
Kinese1874,,1,0,1,0,0,0,0,0,0.042528,0.00002
中东总钻风,,0,10,10,0,1,1,1,0,0,0.00002
ciao6527,,1,0,1,0,0,0,0,0,0.011354,0.000022
我手里的窝窝头,,1,0,1,0,0,0,0,0,0.011354,0.000022
AA噼里啪啦,,1,0,1,0,0,0,0,0,0.011354,0.000022
今天琳琳子傻笑了吗,,1,0,1,0,0,0,0,0,0.325764,0.00002
雲淡风輕笑兲丅,,1,0,1,0,0,0,0,0,0.011354,0.000022
荧光蓝眼泪,,3,0,3,0,0,0,0,0,0.065236,0.000039
非酋今天变锦鲤了吗,,1,0,1,0,0,0,0,0,0.011354,0.000026
-珈寧-,,1,0,1,0,0,0,0,0,0.011354,0.000022
灬开光大使灬,,1,0,1,0,0,0,0,0,0.011354,0.000022
Dorothiomo,,1,0,1,0,0,0,0,0,0.011354,0.000022
灯火流年去,,1,0,1,0,0,0,0,0,0.011354,0.00002
格洛米爱吃大米,,1,0,1,0,0,0,0,0,0.011354,0.000022
忘了开门了,,1,0,1,0,0,0,0,0,0.011354,0.00002
小云朵棉花糖i,,1,0,1,0,0,0,0,0,0.042528,0.000037
牛奶计划,,0,1,1,0,1,1,1,0,0,0.00002
动作玩家巴巴托斯,,1,0,1,0,0,0,0,0,0.011354,0.000037
只是平平无奇恋爱小天才喽,,0,1,1,0,1,1,1,0,0,0.00002
问世间矜持为何物,,1,0,1,0,0,0,0,0,0.011354,0.000037
一鱼渊,,1,0,1,0,0,0,0,0,0.325764,0.00002
Mike的忠quan,,1,0,1,0,0,0,0,0,0.042528,0.00002
齐天大圣救我,,1,0,1,0,0,0,0,0,0.011354,0.00002
日升君_,,1,0,1,0,0,0,0,0,0.325764,0.00002
东汉喰种程昱,,1,0,1,0,0,0,0,0,0.325764,0.00002
兜兜开迪,,0,1,1,0,1,1,1,0,0,0.00002
