name,Label,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum,modularity_class,clustering
广结骟媛解离版,,1,9,10,1,9,10,1,1,1,9,0,3608,1,0
天舞宝轮2024,,5,3,8,6,4,10,1,1,1,18,0,483,0,0
士多啤椰梨,,0,8,8,0,10,10,1,1,1,0,0,2611,0,0
美味滴小红薯,,1,7,8,1,7,8,1,1,1,18.5,0,547,0,0
凝仙,,8,0,8,8,0,8,0,0,0,0,0,545,0,0
反射弧超长星人影九,,0,7,7,0,7,7,2,0.769231,0.85,0,0,3332,0,0
明日头条,,0,7,7,0,8,8,1,1,1,0,0,49049,0,0
林克斯先生Links,,0,7,7,0,7,7,1,1,1,0,0,49389,0,0
永耀洪荒,,6,0,6,10,0,10,0,0,0,0,0,476,0,0
太初真人,,0,6,6,0,6,6,1,1,1,0,0,4005,0,0
近卫步兵师,,2,4,6,2,4,6,1,1,1,4.833333,0,857,0,0
Fan_LeoY,,6,0,6,7,0,7,0,0,0,0,0,121,0,0
伯阳先生-段本司,,3,3,6,3,4,7,1,1,1,9,0,1853,0,0
那砸斑马,,6,0,6,8,0,8,0,0,0,0,0,84,0,0
想要有猫的大白胖子OwQ,,6,0,6,6,0,6,0,0,0,0,0,276,0,0
FuckFeminazi,,6,0,6,6,0,6,0,0,0,0,0,259,0,0
台湾傻事,,0,6,6,0,6,6,1,1,1,0,0,49975,0,0
灰色魔毯Enterprise-NorthPoint,,0,6,6,0,6,6,1,1,1,0,0,50075,0,0
Corbeauclaws,,5,0,5,5,0,5,0,0,0,0,0,817,0,0.1
影视综艺君,,0,5,5,0,5,5,1,1,1,0,0,3192,0,0
UCG一刀,,1,4,5,1,4,5,2,0.543478,0.58,25,0,3742,1,0
秦二两99,,0,5,5,0,5,5,1,1,1,0,0,3897,0,0
一般社员李·Spielberg,,5,0,5,5,0,5,0,0,0,0,0,625,0,0
Aarn沐白,,5,0,5,5,0,5,0,0,0,0,0,129,0,0
窄河_,,0,5,5,0,5,5,1,1,1,0,0,48178,1,0
风筝郑耀先,,5,0,5,5,0,5,0,0,0,0,0,333,0,0
人潮拥挤我尿急呀,,5,0,5,9,0,9,0,0,0,0,0,202,0,0
Disname,,5,0,5,5,0,5,0,0,0,0,0,591,0,0
奥里万,,5,0,5,7,0,7,0,0,0,0,0,563,0,0
是银手不是银兽,,5,0,5,6,0,6,0,0,0,0,0,335,0,0
古月371210,,5,0,5,5,0,5,0,0,0,0,0,228,0,0
快乐小兵27,,5,0,5,12,0,12,0,0,0,0,0,92,0,0
快楽之源,,0,5,5,0,5,5,1,1,1,0,0,49595,0,0
HOPEfulove,,1,3,4,1,3,4,1,1,1,3,0,2490,0,0
奕梦8,,4,0,4,5,0,5,0,0,0,0,0,679,0,0
电影票房,,2,2,4,2,2,4,1,1,1,6,0,665,0,0.083333
纯银V,,2,2,4,2,3,5,1,1,1,3,0,3011,0,0.083333
小玲叮怎么样,,4,0,4,6,0,6,0,0,0,0,0,4124,1,0
7892095418_385,,4,0,4,4,0,4,0,0,0,0,0,659,0,0.416667
克莱门扎124,,4,0,4,6,0,6,0,0,0,0,0,984,0,0.166667
老刀99,,2,2,4,2,2,4,1,1,1,6,0,1939,0,0
圆圆滚滚章鱼烧,,4,0,4,5,0,5,0,0,0,0,0,1645,0,0
黑土没颈之人,,4,0,4,5,0,5,0,0,0,0,0,1031,0,0
世界需要更多的中咪,,4,0,4,4,0,4,0,0,0,0,0,22217,1,0
胖丁刘莔莔,,4,0,4,4,0,4,0,0,0,0,0,63,0,0
伊曼门钥匙传来的,,4,0,4,14,0,14,0,0,0,0,0,570,0,0
云海星灰,,4,0,4,5,0,5,0,0,0,0,0,26,0,0
Battlecruiser_HOOD,,4,0,4,4,0,4,0,0,0,0,0,13,0,0
天堂眼泪,,4,0,4,5,0,5,0,0,0,0,0,1009,0,0
多捞哦zy,,4,0,4,5,0,5,0,0,0,0,0,337,0,0
其柳,,4,0,4,4,0,4,0,0,0,0,0,992,0,0
-w王小王w-,,4,0,4,4,0,4,0,0,0,0,0,2861,1,0
eternalinterest,,4,0,4,5,0,5,0,0,0,0,0,59,0,0
圆环之手,,4,0,4,4,0,4,0,0,0,0,0,232,0,0
沈逸,,4,0,4,5,0,5,0,0,0,0,0,101,0,0
攻略型巨蟹_神大人2215,,4,0,4,4,0,4,0,0,0,0,0,236,0,0
Kami5amA,,4,0,4,4,0,4,0,0,0,0,0,511,0,0
股神碎碎念,,4,0,4,4,0,4,0,0,0,0,0,522,0,0
小媳妇嗑瓜子6688,,4,0,4,4,0,4,0,0,0,0,0,412,0,0
_封刈,,4,0,4,4,0,4,0,0,0,0,0,193,0,0
柳生但马守3,,4,0,4,8,0,8,0,0,0,0,0,313,0,0
S-546,,4,0,4,5,0,5,0,0,0,0,0,561,0,0
装甲北极白熊,,4,0,4,5,0,5,0,0,0,0,0,229,0,0
ShiningRay,,4,0,4,5,0,5,0,0,0,0,0,848,0,0
平权先锋,,4,0,4,5,0,5,0,0,0,0,0,573,0,0
时光齿轮1号机,,4,0,4,5,0,5,0,0,0,0,0,65,0,0
低种性,,3,0,3,4,0,4,0,0,0,0,0,287,0,0
攀塔者梁小狼,,3,0,3,3,0,3,0,0,0,0,0,302,0,0
胖娃娃吖胖娃娃,,3,0,3,3,0,3,0,0,0,0,0,479,1,0
