Topic,Word,Score
-1,女角色,0.03416973904400191
-1,steam,0.030620108006704616
-1,黑神话悟空,0.027832431121257956
-1,黑神话,0.027038191658168054
-1,破防,0.02669963236813572
-1,游戏,0.026328281637162877
-1,女人,0.02548253588148246
-1,女性,0.025285332055273446
-1,真的,0.022913306636524952
-1,评论,0.022526942311329935
0,特别,0.0401372608754528
0,策划,0.03971678437574965
0,星鸣特攻,0.0355081450827976
0,赚钱,0.03327505899874339
0,玩游戏,0.03284435623396992
0,工作,0.03251172707974911
0,原因,0.03248092838410811
0,自然,0.03229914154358325
0,实锤,0.03207082848024642
0,质疑,0.03184929109927934
1,女人,0.216898377860139
1,长得,0.15170141641712542
1,steam,0.14429933915197637
1,展开,0.14259096854586858
1,美女,0.11765992535913836
1,有人,0.0690094249629176
1,黑神话悟空,0.058542057660614086
1,女性,0.030615711153112044
1,游戏,0.025111091605391447
1,孩子,0.0215263099552778
2,女权,0.24136065849857016
2,权益,0.10643719038280783
2,迎合,0.10396652113195361
2,不想,0.10298966260775633
2,互联网,0.10140503307228335
2,元素,0.08815434608742384
2,一位,0.08438990532337941
2,四处,0.08259633006151905
2,群体,0.08154729576327219
2,女性,0.0650996631607005
3,性别歧视,0.13584208481017448
3,发布,0.12126162596355862
3,媒体,0.11365255780466121
3,中国,0.10540829104489273
3,网上,0.10321906025358371
3,平台,0.09123831656593995
3,攻击,0.08826111997056828
3,游戏科学,0.07794496074300433
3,关注,0.07188826245488862
3,文化,0.06332449106495047
4,网友,0.16566962796498624
4,美女,0.14205045715000453
4,男性,0.12984788993968652
4,真人,0.12612797509852822
4,符合,0.12474591675663539
4,国家,0.12149326384001082
4,物化,0.10467902841567055
4,内容,0.10237192061262437
4,女性,0.09386640900872976
4,尊重,0.08182538125843136
5,观点,0.18127330735194122
5,报道,0.16716874085749467
5,冯骥,0.14738287332094338
5,游戏科学,0.13389485879943483
5,宣传,0.13093674695477545
5,发布,0.12401637746743491
5,关注,0.11449883496295238
5,性别歧视,0.11402768475648946
5,文化,0.10534165402008568
5,元素,0.09816971611081331
6,豆瓣,0.5277506187557109
6,女拳,0.4875384018650384
6,四处,0.40752393895968414
6,黑神话悟空,0.13877352550618524
6,哈哈哈哈,0.03259231432787403
6,黑猴,0.03140588680655245
6,仙女,0.029697920854158427
6,发现,0.027624250487009085
6,只能,0.02504783540920986
6,不到,0.02452628167218071
7,猴子,0.1180408093656611
7,水平,0.11355518881041095
7,恶心,0.11257965357722294
7,脸模,0.11257965357722294
7,关系,0.10963949264453472
7,心理,0.1057924885682857
7,样子,0.10328570819495347
7,西游记,0.10200262422715235
7,笑话,0.08479663899146302
7,评价,0.08309300679527153
8,黑神话,0.08711666448388858
8,屁股,0.06183516501500791
8,黑猴,0.05806599516233697
8,不配,0.05740039838152359
8,女籍,0.052721655752623754
8,男生,0.05209949765115651
8,女性,0.05124066820337803
8,黑神话悟空,0.05105355278486053
8,记得,0.04833723814268997
8,史书,0.041667118194337716
9,ign,0.21970499168557278
9,指责,0.094332347937126
9,策划,0.05642163455948866
9,星鸣特攻,0.05621409956481452
9,特别,0.054858502427576124
9,印象,0.04784852055764166
9,头上,0.045200322170605434
9,媒体,0.04404233032051063
9,乐子,0.04220526487526842
9,实锤,0.04029553320237502
10,爱国,0.21828801824533275
10,为啥,0.21148151264900655
10,营销,0.20049693053887307
10,大部分,0.1598481755961125
10,真的,0.11494579801207738
10,群体,0.11200105988943504
10,传统,0.1061369295963339
10,文化,0.10351532505426934
10,老外,0.10177670591495419
10,破防,0.06424452401761656
11,态度,0.380019985060297
11,联动,0.3448405734703001
11,抵制,0.240281132702144
11,真的,0.1901283693862559
11,造谣,0.054082512312313494
11,游戏,0.049289875015827475
11,莫名其妙,0.03479961044029107
11,抹黑,0.03449565930701092
11,女玩家,0.031566090311468634
11,恋与深空,0.030904292749893425
12,记者,0.30085171289866014
12,报道,0.16196276219599695
12,目的,0.16054354280092584
12,国内,0.13505938078026314
12,想要,0.12908482991647752
12,实在,0.12457839729900058
12,社会,0.12411498809019449
12,国外,0.12230969391114929
12,黑马,0.11565143317807383
12,集美,0.11348251477850617
13,四妹,0.3154167175979515
13,有个,0.2849747359242418
13,兄弟,0.28130036208421283
13,地方,0.2699760656124396
13,作用,0.262160565977265
13,全是,0.21693385542871702
13,第一次,0.13958299033596655
13,黑神话悟空,0.0667512130549495
13,剧情,0.05800677521147173
13,喜欢,0.03280296117026074
14,全女,0.1371954737968198
14,评论,0.1337766206549538
14,说话,0.12147798579948219
14,工作室,0.11791679418585076
14,十年,0.11171496881710784
14,作者,0.10507998766705118
14,小时候,0.10237941411926203
14,做出,0.0980831440578465
14,厉害,0.09220502487074074
14,ghg,0.07749406697663998
15,四妹,0.37712339237069425
15,兄弟,0.2738528069931802
15,全是,0.26312603934705586
15,地方,0.26241113860386295
15,有个,0.25469316393904345
15,作用,0.24599751959262658
15,第一次,0.13588746715001707
15,黑神话悟空,0.062256939508337994
15,剧情,0.05116965843311001
15,破防,0.042629894071164805
16,眯眯眼,0.13939260762278322
16,外国,0.1380721245276442
16,是因为,0.1225369652302377
16,意识,0.11234897357688743
16,颜值,0.11207139390125076
16,代表,0.09275734256543007
16,喜欢,0.09192842064752767
16,形象,0.08163938689845453
16,西方,0.08023162751932682
16,大部分,0.0712105006178806
17,原型,0.24079869440346074
17,建模,0.18218577465634928
17,美丽,0.12538818849649114
17,例子,0.10919234018537223
17,提到,0.10735102523934295
17,没想到,0.10183901260058888
17,情况,0.098242370349425
17,漂亮,0.09247578583666739
