Topic,Word,Score
-1,微博热搜,0.027064283974176127
-1,代孕,0.026407752982654128
-1,结婚,0.025683717712855218
-1,女性,0.024268876104605736
-1,离婚冷静期,0.02260546766979494
-1,黑神话悟空,0.021907129255555588
-1,离婚,0.02163689968346002
-1,阻力,0.021557117936360545
-1,悟空,0.021112335608012144
-1,韩国,0.020997519609605136
0,女性,0.03162701338946732
0,代孕,0.028781844833013655
0,结婚,0.027676868220067884
0,实验室,0.024365429266976543
0,青岛,0.024338186248470072
0,相关,0.02401161856964048
0,韩国,0.02362019326287867
0,虐杀,0.023487870527771893
0,性侵,0.023473134771592373
0,畜牲,0.023456239992536022
1,结婚,0.029975563885301166
1,微博热搜,0.028923732104521083
1,女性,0.026187561118084665
1,印度,0.025278652056329204
1,虐杀,0.02526566547354818
1,性侵,0.025247483760548625
1,diss,0.02522272582162616
1,女医生,0.025218361159308467
1,哈圈,0.025210666920329288
1,畜牲,0.025204033315506982
2,说话,0.46155685769958965
2,选择,0.45517867315125027
2,官方,0.4481435549435324
2,博主,0.41745696180805913
2,宣传,0.4104584541892064
2,游戏,0.2867888267918905
2,黑神话悟空,0.09279568063152592
2,评论,0.06526782609090878
2,支持,0.04042822113333993
2,女性,0.03126451272236279
3,模式,0.07889623464458446
3,共同体,0.07635319386671799
3,命运,0.0760291102993025
3,生态环境,0.07104005531894216
3,提高,0.07083984804832413
3,地狱,0.07069126404158749
3,生育率,0.06834156940951114
3,国界,0.06680529792893272
3,可怕,0.06642571788128444
3,困境,0.06409376751124864
4,模式,0.11617627285061494
4,真的,0.09840120750690012
4,命运,0.08796858480040314
4,共同体,0.0861622393521067
4,地狱,0.08553202202890532
4,生态环境,0.08545976494065828
4,提高,0.08518901822522588
4,生育率,0.08443632897503874
4,可怕,0.08091818377611538
4,裂开,0.07447834874992107
5,游戏,0.7269788982604971
5,装作,0.47849509621251496
5,黑神话,0.39500640617534266
5,言论,0.26729014543316354
5,开发,0.26037106151211487
5,乙游,0.24621423183419414
5,宣传,0.22782614084043054
5,信息,0.09050261384237701
5,自由,0.08278871014894967
5,地位,0.06655611612279237
6,模式,0.034980090044195646
6,抱团,0.032244109656195834
6,世界,0.02965694276316884
6,结婚,0.028362581184307695
6,真的,0.027935072770144998
6,微博热搜,0.02557521244480802
6,地狱,0.025314907244792736
6,女性,0.02468245036334414
6,印度,0.024387006414104153
6,diss,0.02419249971216399
7,出台,0.21799988205039034
7,没关系,0.21793432703421006
7,运动员,0.21766442865689403
7,家暴,0.21700108080860125
7,身份证,0.21700108080860125
7,中指,0.21682794849094503
7,新闻,0.21299857829151128
7,取消,0.21291682141145102
7,成功,0.2091794799547469
7,全网,0.20565434465908716
8,黑神话,0.3128694139857349
8,放弃,0.24598612105805379
8,微博,0.24470398835712584
8,觉醒,0.24361530668318332
8,好好,0.23535411543308793
8,该死,0.23265770803974967
8,手机,0.23193911970509284
8,男拳,0.22077474246201784
8,女生,0.20945231703215236
8,评论,0.20188797654071283
9,网络,0.4011901901924017
9,反对,0.3971378144819599
9,叙事,0.3948531282974287
9,支持,0.3900101984417925
9,挑起,0.3856325311778992
9,黑神话,0.38038112328964013
9,对立,0.3786972050147655
9,杨奇,0.3402040433867407
9,性别,0.31201967895400656
9,文化输出,0.30536605844294773
10,视频,0.58307788915786
10,实在,0.4166282769362317
10,方式,0.24330838860273724
10,无数,0.240221267736908
10,感叹,0.23913003523993134
10,更是,0.23806876556387876
10,传播,0.23806876556387876
10,智商,0.23602984598266047
10,感人,0.2309530725438807
10,攻击,0.2206673221279503
11,情绪,0.2666567332713424
11,原谅,0.2510725535111204
11,没关系,0.21717629459235194
11,中指,0.21607376432228087
11,出台,0.21159898206923827
11,运动员,0.2112733782389615
11,身份证,0.21062950757198504
11,家暴,0.21062950757198504
11,取消,0.20666516996402273
11,成功,0.20303756411191973
12,游戏,0.49194461959352537
12,有人,0.2672013084328594
12,乙游,0.26700720036594566
12,支持,0.26352523958933965
12,宣传,0.23075505384728623
12,刻板,0.21797185419369206
12,印象,0.20925298002594442
12,思想,0.17645753204724862
12,尊重,0.17185804814810007
12,未来,0.17032726847400687
13,集体,0.33467574708814135
13,黑神话,0.2779272790702579
13,几天,0.13842571990477842
13,男性,0.13034833651483235
13,微博,0.12775972462734178
13,恶意,0.12562775205793777
13,只能,0.10595927511672464
13,支持,0.10448636318373618
13,一句,0.1038038897566465
13,现实,0.10121026202972379
14,事件,0.7907121969293105
14,黑神话,0.6354821661232748
14,生物,0.4246220206681178
14,微博,0.4113339443950828
14,维护,0.3750739814490193
14,官方,0.3750641193107617
14,姐妹们,0.36237912903306124
14,发生,0.3002090198607886
14,女人,0.08467996177842992
14,相关,0.07737830432691252
15,阴暗处,0.06760375335639747
15,装不下,0.06760375335639747
15,掩埋,0.06760375335639747
15,多到,0.06693514941762828
15,地下,0.06661592470016861
15,家里,0.06410544069841599
15,一只,0.06128340756048861
15,发现,0.057884575445466775
15,蟑螂,0.05598701184003484
15,微博热搜,0.03366500848003963
16,粉丝,0.8311619347922329
16,购买力,0.4497745026740673
16,黑神话,0.41822454278518656
16,男性购买力,0.4058441443498992
16,瑞幸,0.3693111944097911
16,联名,0.25785584593647526
16,朋友圈,0.23650736655591612
16,只能,0.21354556405481934
16,数据,0.17986412511454816
16,性别,0.15567516781051766
17,模式,0.10199464113125271
17,地狱,0.08034066450481483
