topic1_word,topic2_word,topic3_word,topic4_word
黑神话,暴雪,女人,角色
玩家,遇上,黑神话悟空,韩国
黑神话悟空,特别,发布,四妹
角色,裁员,公司,黑神话
男性,暴死,中国,设计
悟空,两年,文化,形象
评论,策划,性别歧视,暴露
抵制,工作,美联社,厂商
网友,原因,科学,公司
原型,赚钱,报道,星刃
尊重,玩游戏,引发,上半年
大作,质疑,自信,真不
西方,行业,该游戏,直观
恋与深空,自然,关注,实质
视频,第一次,展开,主角
中国,正面,冯骥,展示
建模,实锤,大姐,悟空
喜欢,都市,创始人,男性
侮辱,头上,男性,孙悟空
西游记,出名,细糠,育碧
